"","id","author","stars","date","comments","length","category"
"2065","2065","By Susan D",5,"Oct 24, 2019","Excellent course with concepts that can be applied immediately.  I thought this course was very well done.  The format is excellent with relevant content and intereEach learning segment is broken into small units so learners can watch videos as time permits.  I liked the transcript of the video below, which allowed me to go back and review key concepts.",357,"design"
"2066","2066","By Deborah F",5,"Sep 19, 2017","This course was excellent. As a talent specialist, I learnt a great deal about how I could apply design thinking principles in the design and delivery of our learning and development solutions. The course also helped me to appreciate the value of a growth mindset required for innovation, and how we can develop those capabilities within ourselves and",352,"design"
"2067","2067","By Shimon M",5,"Sep 10, 2019","A thoroughly worthwhile course. It provides you with a good toolbox of ideas and tips on how to come up with the vision and proof of concept for your next project. You may have to attend the lectures more than once to take in all the information, however it was well worth the time. Thank you and ell done to Professor Jeanne Liedtka and her team.",347,"design"
"2068","2068","By Lorenzo F",5,"Jun 17, 2017","Very interesting! The course is quite brief but concise. It's perfect for people who have an idea but don't know how to develop it and how to look at it in a more professional manner. Perhaps I would have appreciated to use some tool in a practical way, such as software for Mind Mapping and so on! Overall, very useful. It opened my mind! Thanks",346,"design"
"2069","2069","By Rodrigo A C",5,"Aug 21, 2019","Design Thinking for Business Model Innovation definitely changed my way of seeing project management. The content of this course is precise and the lecturer is very knowledgeable. Lectures are very interesting, with real-life examples so students are able to understand better and easily become eager to jump in and listen class after class.",342,"design"
"2070","2070","By Enrique M",5,"May 21, 2019","I found the course very interesting. I have known the tools on which Design Thinking is based. I have met application cases which help me expand my use landscape in my work life. I recommend all professional and non-professional interested in obtaining unconventional tools to have innovative solutions to work and personal problems.",333,"design"
"2071","2071","By Bruce D",5,"Feb 07, 2019","Great course that had just the right level of detail for a busy executive. I will be considering this for some members of my team. Covers the philosophy and mindset around Design Thinking in a refreshingly different way, and also some simple but foundational tools that can be applied to harness quick results from the methodology.",331,"design"
"2072","2072","By Claudia H M",5,"May 14, 2018","This is a great course which has lots of helpful examples. I really enjoyed taking it and learning more about design thinking. The good explanation of design thinking tools will help me to apply them in several times and opportunities. There are a lot of ways to use design thinking tools and I am able to take my next challenge.",330,"design"
"2073","2073","By Diptiman C",5,"Jan 19, 2020","The content is very well presented along with examples which helps connect the dots. This course helps us plan, design , understand and implement the day to day as well as complex decisions. Sure this has been helping me as a manager in my current activities and also train others in delivering their responsibilities as a unit.",329,"design"
"2074","2074","By Kevin K",5,"Oct 03, 2017","As a beginner, this was a perfect course to start with and get deeper understanding of Design Thinking and its application in real. The mix of other learners and reviewing peer-assignment is great way to understand how people work with Design Thinking globally. I recommend this course for beginners in Design thinking.",319,"design"
"2075","2075","By Yash",5,"Jan 13, 2017","I enjoyed learning about the several Design Thinking tools with practical examples for each of them. Breaking down the design process into the four 'What' stages changed my perception towards how to approach problem solving in the industry. I believe the lessons I learned in this course will be helpful in my career.",318,"design"
"2076","2076","By Ignacio C",5,"Mar 06, 2020","I just loved the course. Not only it is interesting when it comes to content, but also the learning process is easy and flows in quite a natural manner. Improvements? It'd be great to add some content explaining more real cases, as they are hugely effective to settle concepts and give them a hands-on perspective.",315,"design"
"2077","2077","By David F",5,"Aug 07, 2019","An exceptional orientation to the design thinking process. Examples clearly illustrated design tools and methods for people who are new to this field. The assignment facilitated my thinking for how to apply these concepts to my own context. I thoroughly enjoyed the course and found it highly useful to my work.",311,"design"
"2078","2078","By Coral-Lee A",5,"Oct 30, 2018","I thoroughly enjoyed this course! It was excellent, logical, thought-provoking, clear, useful and applicable to my work environment. I have already been using so many of the methodologies in my work projects and with clients. I highly recommend this as a short introduction to the principles of design thinking.",311,"design"
"2079","2079","By Camilo J C R",5,"Feb 11, 2016","Compelling and interesing course mainly oriented to business and/or management students and workers. It's also complementary knowledge for designers (of any kind) who are looking to manage and direct different communication approaches to specific stakeholders groups in order to develop design applications.",307,"design"
"2080","2080","By NATASHA J",5,"Jan 23, 2020","Nice balance in the presentation of the course materials - Although much of the course is listening and paying attention to the course videos and examples if you are serious about Design Thinking, this course provides exceptional details and a rigorous final project to support your growth in the subject.",305,"design"
"2081","2081","By Jacqueline O",5,"Apr 22, 2018","I really appreciated this course. Jeanne is really interesting and presents the topic in a very appealing way. (I was so much motivated that I bouhgt the book and discussed with colleagues about this MOOC). It helped me to approach  problems in a new way and not hesitating to be confident about it.",300,"design"
"2082","2082","By Loveleen M",5,"May 07, 2017","There are not many Design Thinking courses available online- and this  one is among the best. The graded activity at the end makes you think hard on the application of the DT tools. Reviewing other learners' work also gives one insights into the application of the Design thinking methodology.",293,"design"
"2083","2083","By Sidharth R N",5,"Nov 06, 2019","Highly organised and systematic lectures, with a fair share of real life examples and case studies, to give you a really good insight into the practical and theoretical aspects of Design Thinking. I loved being a part of this course, and enjoyed learning something that was totally new to me.",292,"design"
"2084","2084","By Stela K",5,"Nov 13, 2019","Very relevant and simple examples to be able to connect day-to-day life with the need and concepts of Design Thinking. The selection of videos is following a logical flow and as the weekly block is split into short video sections it makes it easier to follow and take breaks in between.",287,"design"
"2085","2085","By Asebi B B",5,"Oct 29, 2018","I am a young Engineering graduate seeking to venture into the Innovation and Entrepreneurship. The lessons in this course were quite simple and easy to comprehend despite my engineering background. Lessons were very practical and I intend to apply them in my future business operations",285,"design"
"2086","2086","By Tom L",5,"Jun 17, 2019","Thank you professors, guest speakers, team members for making such great course. I found a new approach to solve my real life problems. I have more confidence in working with innovation projects, and believe I can be creative too as long as I know how to approach & what tools to use.",284,"design"
"2087","2087","By Thuraya",5,"May 28, 2016","One of the best courses I have ever attended. I am really impressed with the presentation of the content and the creativity of delivering the ideas. I have purchased the book ""GROWTH"" from Amazon, to add on what I've already learned in a deeper manner. Thank you, Thuraya Al Souli",281,"design"
"2088","2088","By Alexandra S",5,"Sep 13, 2017","Most inspiring! I was so excited about many of the topics and tools and examples, that right now, day and night, my mind comes up with quotes from the course and ideas where to apply and test what I learned there, determined to use every opportunity I have to use this framework.",280,"design"
"2089","2089","By Zac W",5,"Aug 10, 2016","Very good introduction to design thinking. Provides some useful tools that I have already used in my personal and professional projects and will continue to use in the future. Every video lesson was well done and tied the overall theme into the content well. Highly recommended!",278,"design"
"2090","2090","By Leonor E d P",5,"Jan 19, 2020","Great course on Design Thinking. Easy to listen and to go through. The professor is very didactical and the material is very well designed and presented. I would recommend this course if you'll like to broaden your knowledge in this area. It is a must-have tool for management.",278,"design"
"2091","2091","By Laura M",5,"Feb 17, 2018","Such a fantastic course.  The videos were compelling and I learned so much without the stress of homework.  Perfect for full time working professionals who want to learn about design thinking, but do not have hours to invest in assignments.  The professor was really excellent.",277,"design"
"2092","2092","By Iman S",5,"Sep 15, 2017","Thank you Jeanne M. Liedtka Ma'am. Thank you Coursera.It was a good experience for me as an young novice entrepreneur. I have gained immense knowledge about the dos' and do not s', about approaching a market with a product, targeted customers, etc. Thank you all once again.",278,"design"
"2093","2093","By Philein G Z",5,"Mar 06, 2018","This course surprised me. I had reservations before as I had prior mindset that it is for the ""creatives"". But this course made me realize a lot about how we can shape our minds and hone our skills to better connect with the world! Thank you Coursera and Jeanne M. Liedtka!",273,"design"
"2094","2094","By Jean-Baptiste V",5,"Feb 06, 2018","Very good initiation course offering examples and tools supporting a slightly different approach of Design Thinking than the usual 5-to-7-step one (Empathy, Define, Ideate, Prototype...). I would recommand this course as a first dive into this broad and bold methodology.",271,"design"
"2095","2095","By Ricardo V",5,"Jun 13, 2019","Design thinking really drives you to the process of asking better questions, to challenge status quo and have a different perspectives of common problems and how to solve them. have a huge respect and admiration for Professor Jeanne Liedtka and Ed Hesse. Thank you.",265,"design"
"2096","2096","By Kerolles  F H",5,"Sep 29, 2019","This course made me know the secret of the success of the greatest companies, this secret is the design thinking and a lot of tools used together with visualization and storytelling and mental maps .. I am grateful to Coursera and for this course and instructors",262,"design"
"2097","2097","By Rupal P",5,"Nov 11, 2018","Its an excellent course for beginner. Also being in community makes it interacting. I would recommend every financial professional to also develop critical thinking through design thinking process. The course is well explained with some very good case studies.",262,"design"
"2098","2098","By David H",5,"Jan 04, 2017","The lecture videos move very fast at times but the information is concise and useful. The professor uses lots of examples to illustrate each of the topics covered and helps facilitate the students in adapting the concepts into their own lives and experiences.",260,"design"
"2099","2099","By Christopher A",5,"Sep 07, 2016","This as been one of the most rewarding MOOCs I have taken, and I can't recommend it enough . ‎Professor Jeanne Liedtka totally demystified the design thinking process,  and tools, and made it very accessible.  Thank you Coursera, thank you ‎Professor Liedtka.",259,"design"
"2100","2100","By VIJAY A S",5,"Feb 17, 2018","It was an excellent course and opened up lot of ideas on Design Thinking. The real time case studies and the way people solved their problems through design thinking is an excellent motivation to take up design thinking seriouslyDr. V. Vijay Anand Sriram",254,"design"
"2101","2101","By Ajay M",5,"Oct 21, 2019","It is an excellent course for everyone to bring in innovation and creativity into their work by following certain basic principles and approach. The course is well designed and the assignment really makes you use the learnings holistically. Thank you !!",253,"design"
"2102","2102","By Alicia B",5,"Apr 23, 2019","This is a super relevant course across all industries and I really loved the different use cases used as examples. I thought the content and delivery was top notch and really appreciated the feedback shared by my virtual class. Thanks Professor Liedtka!",253,"design"
"2103","2103","By Juan C B",5,"Jul 12, 2017","Although I would have loved to see more about each part of the Design Thinking process, this course gave me a very useful insight to further study Design Thinking. Moreover, it helped me start off the purpose of a business endeavor with friends of mine.",253,"design"
"2104","2104","By Soundarya S",5,"Mar 20, 2019","This Course is the best ! I would strongly recommend this course for developing their skills in this 21st century . I thank Prof.Jeanne Liedtka and university of Virginia Darden school of business for creating such a useful course . Thank you so much .",254,"design"
"2105","2105","By Aysin K",5,"Sep 19, 2016","Although I did the free version, I have to say that it is a super easy, well laid out introduction to design thinking... Makes you buy lots of books and go in to researching the tools though :-) Thanks! I will definitely come back for certification...",251,"design"
"2106","2106","By Kevin H",5,"Apr 12, 2017","I have been looking for a Design Thinking course for quite a while and I have taken some other courses already. This course if what I was looking for, as it provides high quality content with created by experts in the field that is usable right away!",250,"design"
"2107","2107","By Matthias G",5,"Nov 24, 2016","The course content and material was very well put together and enabled a well paced learning within the provided duration. However I'd suggest that the assignment gets some more information early on as if it is left too late the time may be limited.",250,"design"
"2108","2108","By Marco B",5,"Jan 23, 2020","I found this course very useful since it demystified the word design as something only for specialists. I've learned that this innovation approach is for everybody, it is consistent and it is effective in business. Thanks a lot Professor Liedtka.",247,"design"
"2109","2109","By Alejandra O",5,"Jul 19, 2016","Me gusto mucho el curso ya que ademas de la parte teórica, se enriquece el contenido con casos de éxito, testimoniales de expertos y otros recursos que le dan dinámica al curso. Los facilitadores hacen una buena labor cumpliendo las expectativas.",247,"design"
"2110","2110","By Su S M",5,"Oct 25, 2016","I learn so much and how the video lectures are presented really break it down very easy to understand. I find the information very useful to my own entrepreneurship and design thinking processes. I feel ready to try out some of these steps soon.",245,"design"
"2111","2111","By Carlton Y",5,"May 25, 2017","The content kept my attention! It's important to take good notes and revisit some of the course material for your own self-growth and knowledge. I completed early and was very fulfilled with the subject mater. I would definitely recommend this!",245,"design"
"2112","2112","By Luis G O R",5,"Aug 24, 2019","Excellent course. It gave me the tools to better understand techniques and tools to address every day problems on a work environment. Congratulations to all the professors and teachers who gave their time to put together this course.Thank you!",243,"design"
"2113","2113","By Alina M",5,"Feb 29, 2020","Nice high level overview of what is design thinking and what are some tools and strategies that can be used when trying to use innovation to solve a problem. Great stories and examples by the lecturers. Course was simple and easy to complete.",242,"design"
"2114","2114","By Darshan S S",5,"Jan 19, 2020","I felt in love of COURSERA courses ! Very lean information that i learned from this course. It will be really helpful to implement learning from this course into regular project activities. I'm damn sure it will help me to get best results.",241,"design"
"2115","2115","By Jorge A B G",5,"Mar 17, 2018","It was a very nice and interesting experience, and a proper beginning for me to study Design Thinking. I agree with the students who want another version of this course, with more advanced concepts and applications. Thanks a lot! I enjoyed.",241,"design"
"2116","2116","By Anah V",5,"Jul 22, 2017","This is a great course! I'm two weeks down and am already able to apply what I've learnt. The course breaks down complicated topics to easily process able bits and pieces. Jeanne is a great teacher and has good clarity in explaining things.",240,"design"
"2117","2117","By Luis D R",5,"Dec 11, 2017","Through simple insights, real life examples and great visualization tools, this course offers in a few weeks enough material to change your perspective about alternative ways to tackle big and small scale problems. I'd recommend to anyone.",239,"design"
"2118","2118","By Martin K M",5,"Feb 12, 2019","Design  Thinking for Innovation is one challenging course but when you get to understand it it is one course that gets you thinking on your own accord. I myself had been stuck in analysis paralysis until Coursera gave me this opportunity.",238,"design"
"2119","2119","By Bryan A L J",5,"Sep 21, 2019","el curso es super interesante, son vídeos cortos y se te pasa super rápido el tiempo mirándolos ademas que la estructura de coursera te hace sentir como que vas subiendo de nivel completando objetivos y te animas a seguirle, me gusta :)",236,"design"
"2120","2120","By Dovie M C",5,"May 09, 2018","This is a great course and I learned a lot from it. However lectures are already outdated. My suggestion for the University of Virginia is to update their lectures for I saw in one of the clips that the lectures are dated way back 2010.",236,"design"
"2121","2121","By Vineeth K",5,"Feb 25, 2019","Learnt a lot about Design Thinking! The practical assignment in the 5th week helped me reinforce the material I learnt in the course. Thank you University of Virginia and Coursera for giving me an opportunity to learn Design Thinking!",234,"design"
"2122","2122","By Felipe M",5,"Aug 28, 2019","Great course. It really helped me understand the importance of design thinking and how it can be applied to avoid rework and achieve great results with team collaboration. Thanks a lot Coursera and University of Virginia for this.",231,"design"
"2123","2123","By Srinath G",5,"Sep 17, 2016","A very well laid out structured learning program. Course pace & content is great & triggers enough thinking during the course assignment. I recommend the course to all those who want to bring in structure to thinking & innovation",230,"design"
"2124","2124","By AVNISH P G",5,"Sep 21, 2017","I think it was a very informative course with a lots of real time examples to take inspirations from.I strongly recommend this course to all organizations, so that they can come up with innovative solutions for their customers.",227,"design"
"2125","2125","By Naven G",5,"Oct 08, 2016","Excellent pragmatic take on Design Thinking - a fairly complex subject that was made as easy to understand. Really enjoyed Prof Liedtka - am ready for a more advanced course on this very interesting subject - thank you so much",226,"design"
"2126","2126","By Jean C M d S",5,"Jan 27, 2020","Apesar de ser introdutório, o curso é rico em detalhes, em cases de exemplo. Um ponto importante sobre o Design Thinking é que ele não é oposto à abordagem de negócios tradicional, muito pelo contrário, ambos se complementam.",225,"design"
"2127","2127","By Rogerio A",5,"Mar 06, 2020","I'm loving this course. It works and explains the ideas in a very clear way. The tools are very usefull and I'm just thinking about learning more and more with this team and with coursera plataform. Thanks a lot and move on!",225,"design"
"2128","2128","By Jorge A R",5,"Jul 25, 2017","Great introductory course on design thinking. I found it very useful to have an overall idea of how to use design thinking for innovation. Furthermore, it provides guidelines on how to apply design thinking on your own work.",224,"design"
"2129","2129","By Sachin K",5,"Mar 19, 2017","This course is so elegantly structured that in spite of very busy schedule of mine I could still complete it and also could quickly apply. I think the fundamental thinking of ""Fail or succeed fast"" is built in to this course",224,"design"
"2130","2130","By Arun",5,"Oct 02, 2019","The whole course is structured in a very systematic way to make everyone understand the concept. we can feel the experience of professors who are teaching the subject. Live examples made this course interesting and engaging",223,"design"
"2131","2131","By Suryanarayanan K",5,"Oct 23, 2017","Very well structured and organized course. The learning material was just right. I got the value I expected from this course. Jeanne is an excellent tutor. The effort Darden has put in to develop this course is impressive.",222,"design"
"2132","2132","By Harish",5,"Jun 20, 2016","Absolutely awesome course. Makes you really go back to the drawing board and re-evalate if we are building products the right way with our customers in mind. A must have course for every product developer and entrepreneur. 

",225,"design"
"2133","2133","By Josué C M O",5,"Mar 28, 2017","It is a very interesting course that helps people undertand new methologies for innovation. I  recommend taking this course if you want to provoke change in your company and in your life, but till now you do not know how.",222,"design"
"2134","2134","By Sphiwe D",5,"Dec 12, 2019","This was a really nice course and I really enjoyed it. It was exactly what I needed since I am currently working on a project that requires my team members and myself to apply the Design Thinking methodology. Thank you!",219,"design"
"2135","2135","By Tim M",5,"Dec 04, 2019","This course is an excellent overview of design thinking with case studies. It provides excellent foundational material and sources for further study and practice. The peer-review final assignment exercises the learning.",220,"design"
"2136","2136","By Saad Y",5,"Feb 08, 2017","A very nice course for entrepreneurs and the people working for innovation to make the world a better place. In this course, I learnt about the basics of design thinking, it's tools and their application in the process.",219,"design"
"2137","2137","By Pedro C",5,"Jan 23, 2017","I think its a straightforward course thus being effective. It talks about the mindshift needed and the tools available. It also brings several good examples. I also like Professor Liedtka enthusiasm and holistic vision.",219,"design"
"2138","2138","By Mellina M Y Y",5,"Mar 21, 2016","Filled with real world examples and step-by-step process, Design Thinking for Innovation is an awesome course to get started on Design Thinking. This was specially useful for my upcoming projects so thank you very much!",219,"design"
"2139","2139","By Amod K",5,"Mar 10, 2020","Content was well covered with case studies and examples. Tools shared in this course are useful in day to day practice and to derive outcome.  It helped me in structuring thought process well during innovation process.",218,"design"
"2140","2140","By Marco P",5,"Jan 07, 2020","Enlightening! It gives clear structure to many notions and preconceived ideas. It provides useful tools to face the ever-changing environment with innovation bravery. I liked it a lot and start applying it right away.",217,"design"
"2141","2141","By Michael T O",5,"Mar 22, 2019","The course was a great introduction to the design thinking process.  I found it to be surprisingly powerful and effective in illustrating how to 'design think' and have already applied it to my job.  Highly recommend!",217,"design"
"2142","2142","By Tali T",5,"Sep 14, 2017","I enjoyed the course very much, and found it highly insightful. I look forward continuing learning and applying Design Thinking, as it is a great creative and effective approach to any challenge and organization. I",215,"design"
"2143","2143","By Kelli K",5,"Feb 28, 2017","Excellent, fresh content. I've taken many courses on design thinking, but this one was unique in its tone and approach. It speaks to the executive audience in a way other materials have not, which I appreciated.",213,"design"
"2144","2144","By Gabriel F",5,"Nov 15, 2015","Very good course I recommend to everyone interested in learning new ways to develop solutions in any field of business or beyond, Jeanne is a great teacher an explains all with simplicity and easy understanding.",212,"design"
"2145","2145","By Amilkar T",5,"Sep 30, 2019","Great introduction into Design Thinking from one of the leading voices of Design Thinking. Vastly exceeded my expectations and would strongly recommend it to anyone that is trying to solve any type of challenge",210,"design"
"2146","2146","By Ran L",5,"May 11, 2018","Jeanne has been one of the best presenters I've ever seen. The words from her mouth carry great depth of thoughts and passion for what she cares about. I'm definitely retaking this course in the coming future.",211,"design"
"2147","2147","By Brijesh V",5,"Aug 13, 2019","It was a wonderful experience to be a part of this course.I have learnt many things new concepts & got clarity about many topics.I am looking forward to implementing the teaching of this course in my career.",210,"design"
"2148","2148","By Maria L G",5,"Feb 12, 2016","So far, this is the best online course I have taken. Prof. Liedtka was engaging, their case studies were all interesting, and the pace was just perfect. From a course designer perspective, this one is tops.",206,"design"
"2149","2149","By 苏晓佳",5,"Jul 29, 2019","Very inspiring for me! All these things learning in the class can be applied to various aspects of my work and especially my life. I want to thank Professor Jeanne for your brilliant sharing and teaching!",204,"design"
"2150","2150","By Abhishek G Z",5,"Jun 24, 2019","It has helped in building my understanding about designing rather simply sketching it meant to me. It gave me a broad spectral view on coming across each product and to make resourceful ideas for the same",204,"design"
"2151","2151","By Rajesh K",5,"Nov 07, 2016","For a self paced, online course this is an excellent beginners course.  The lectures are simple and examples given are very apt. I also liked the peer grading enforced as I could learn from them as well.",203,"design"
"2152","2152","By Ignacio R",5,"Aug 12, 2016","Excelente curso, aporta bastante material y conocimiento al tema. Las exposiciones de los instructores son muy interesantes. Buenos casos de análisis con información completa. Lo recomiendo ampliamente.",202,"design"
"2153","2153","By Setyobudi",5,"Aug 31, 2018","This is very good course for every body whatever your background, your education & your job role position. I highly recommend to get this training to change, gain & create your mindset for innovation.",201,"design"
"2154","2154","By Jose M F",5,"Feb 11, 2019","Concepts are presented in a straightforward and clear way, the examples and lectures are very relevant to the context and support the knowledge. Looking forward to using the tools in my activities.",197,"design"
"2155","2155","By AJIT Y",5,"Feb 28, 2020","The course provides a practical approach to how to address issues using Design thinking approach.The examples provided to understand the tools used, provide deep insights on usefulness and applica",196,"design"
"2156","2156","By ERDEM M",5,"Nov 30, 2018","Hi there,I am very grateful to have attended this program because it contains a very inspiring and mind-blowing curriculum. As I attended classes, my awareness of the subject increased much more.",195,"design"
"2157","2157","By Shaneen S",5,"Aug 08, 2018","I enjoyed the ability to learn at my own pace and time.  The videos, transcripts and resources are excellent.  I highly recommend this course for Public Servants who deliver services or products.",195,"design"
"2158","2158","By Paul D B",5,"Dec 06, 2015","A very interesting course, with lots of good content. I am excited to learn more now about design thinking. The video featuring Dr. Hess was hilarious!  I would love to take a course with him!",192,"design"
"2159","2159","By Ashok K P",5,"Apr 23, 2019","This course has been really helpful for me , mainly I like about the way mindmapping of customers has been explained , also I liked the learning launch tool, when time and cost is constraint",191,"design"
"2160","2160","By Kutloano",5,"Oct 30, 2017","This course has helped to unlock my true potential as a UX Designer. It will help me for many years to come.Especially in an increasingly changing world where we have to do more with less.",188,"design"
"2161","2161","By Iva M",5,"Jan 24, 2017","Really helped me to gain another perspective on different solutions and how thinking out of the box, and even in the box but from another perspective may be very productive and innovative.",188,"design"
"2162","2162","By Xavi S",5,"May 04, 2017","It was an excellent course to dive into Design Thinking and creativity. I'm more than satisfied about it and I'd love to enrol in courses that brings DT and creativity to the next level!",186,"design"
"2163","2163","By Greg H",5,"Dec 12, 2017","I really enjoyed this course! It's informative, insightful and focused on practical application. It will definitely help me inspire deeper application of design thinking within my firm.",186,"design"
"2164","2164","By Shailesh G",5,"Sep 13, 2017","It was a great experience while learning using coursera. The course I'd taken is nicely designed and I enjoyed all over. Thank you so much for providing this learning opportunity. Best!",185,"design"
"2165","2165","By Diana H",5,"Feb 13, 2020","I was very happy with my experience with the course. The information and videos taught me a lot about design thinking and the writing assignment was a great way assess that knowledge.",183,"design"
"2166","2166","By Vijay R",5,"Jul 31, 2017","This course gave me an opportunity to learn 'practical' Design Thinking directly from the inspiring teacher/professor , Jeanne Liedtka with very engaging course videos and exercises.",183,"design"
"2167","2167","By Alejandro A L",5,"May 07, 2018","It was an amazing experience. Very happy with it. Very well designed, and top quality in terms of content and - specially - technology. Applicability is high. I am totally satisfied",182,"design"
"2168","2168","By Juanita B",5,"Aug 22, 2018","The course includes several tools to implement the design thinking approach. Also gives some example on how big companies have resolved their own strategic problems using this tool",180,"design"
"2169","2169","By claudio y",5,"Jul 25, 2019","Muy buen curso con conceptos muy simples y faciles de implementar y que te entrega herramientas concretas para poder desarrollar una forma de pensar para prepararte para innovar.",178,"design"
"2170","2170","By Hamsa P S",5,"Jun 12, 2018","I've learned a lot of different techniques and gained perspective through this course that no other content on internet could provide me. This course is ""Impact delivered""",171,"design"
"2171","2171","By Rhema B D P",5,"Aug 17, 2019","I love the methodology that was taught in this course, even the reading list is robust and complimentary. It's actionable and very relevant in today's business landscape.",170,"design"
"2172","2172","By Jaime A P J",5,"Aug 19, 2018","This course is very enlightening. It is able to tackle what we need to know about design thinking for innovation. The video lectures and resources are very comprehensive.",171,"design"
"2173","2173","By Edward S",5,"May 31, 2017","This was such a great course and introduction to Design Thinking. Was fantastic and well structured course which was easy to work through and apply to the end assignment.",171,"design"
"2174","2174","By Ankush V",5,"Sep 14, 2017","Interesting course! I had certain idea about design thinking prior to taking this course however this added the much needed value to my knowledge! Very much recommended!",169,"design"
"2175","2175","By Sampanna K",5,"Jul 28, 2017","Thank you for conducting such a meaningful course. It was a good learning and has inspired me to start practice design thinking in  rigorously to solve many unmet needs.",169,"design"
"2176","2176","By Ali T J",5,"Dec 24, 2019","Excellent course, great start and an eye opener to innovation, how to make it the right way and how to avoid the common mistakes and get acquainted with it. Thanks. Ali",169,"design"
"2177","2177","By Akinbisola B A",5,"Jan 12, 2020","This course has opened my mind to creative thinking, believing in the act of process that it is fine to fail cause there are chances to succeed after a failed attempt.",167,"design"
"2178","2178","By Clarin P D",5,"Jul 23, 2019","A really informative course, helps you in the long run. Do check it out. Final assignment was an excellent way to effectively put the various techniques learnt to use.",167,"design"
"2179","2179","By Flavia V",5,"Aug 05, 2018","O curso ajuda a entender como o design thinking e a abordagem orientada à solução de problemas pode nos ajudar a pensar em soluções focadas na necessidade do cliente.",166,"design"
"2180","2180","By Wong L T",5,"Jan 09, 2020","Excellent professor, clear concepts delivered in a manner which inspires and excites. I am hoping for many more of such courses as it has transformed the way I work.",165,"design"
"2181","2181","By Ivan L N",5,"Oct 25, 2019","This will really contribute to your skills and knowledge. This course help me to cope in a changing world. Thinking everything as something to innovate and renovate.",165,"design"
"2182","2182","By Gaurav M",5,"Nov 25, 2017","Design thinking encourages to think radically and i believe the content of the course has made it more lucid to understand and implement in your day to day situation",165,"design"
"2183","2183","By Pallav P",5,"Nov 05, 2016","A great course into a totally new concept. Explains in great depth, the myriad opportunities Design Thinking brings for all of usKudos to the Team of Design Thinking",165,"design"
"2184","2184","By DIna M",5,"Apr 18, 2016","Un curso muy bien estructurado. Conceptos claramente explicados y material de apoyo suficiente para poder investigar de manera adicional y profundizar aún mas en los",165,"design"
"2185","2185","By Jaisanker.S",5,"May 21, 2019","This course gave me an insight of vital things in design thinking by  explaining how to enhance the process of thinking using elaborative examples and case studies.",165,"design"
"2186","2186","By Adebowale O",5,"Feb 22, 2018","I found this course realy useful. The delivery style was also quite good. I recommended it to three of my friends. One has signed up and is with the current cohort.",164,"design"
"2187","2187","By Mohamed A E",5,"Feb 27, 2019","One of the best courses I have ever experienced. I would recommend this to all people, who are looking for extraordinary performance at work place and in business.",163,"design"
"2188","2188","By Jenny O",5,"Sep 19, 2017","this is one of the best courses I have ever taken!definitely helping my career: at my current job but also with what I want to do next and how to continue growing.",163,"design"
"2189","2189","By Erin L",5,"Aug 14, 2017","This course will enhance your business acumen, no matter your experience level. The course itself is manageable and the instructors share many beneficial concepts.",163,"design"
"2190","2190","By Lalith K V",5,"May 01, 2017","Content is the heart of any course and this course  has got that perfectly. A useful and impactful course for people who want to explore new approach in Innovation",163,"design"
"2191","2191","By Ricardo M S",5,"Apr 02, 2019","This course is amazing, provide very good information, with excellent examples. I recommend to everybody who wants to know about Design Thinking take this course.",162,"design"
"2192","2192","By Tatiana T",5,"Mar 12, 2017","The course opened my mind to the technical use of design thinking tools. For me design in general has always been important, but now I feel I can argue from it.",160,"design"
"2193","2193","By ANIKETH",5,"Sep 30, 2018","This well structured course gave me insight of many unknowns to me. I will surely recommend it to any young manager who is in peruse of his carrier of success.",162,"design"
"2194","2194","By Jee L",5,"Apr 26, 2018","Great introduction and explanation about design thinking. Really love the course and the techniques of design thinking. I definitely will use it in daily life!",159,"design"
"2195","2195","By Naveen A",5,"Feb 21, 2018","This is an amazing course, which helps you understand fundamental concepts of Design Thinking and how it can help one innovate and solve problems at workplace.",161,"design"
"2196","2196","By Neha S",5,"Mar 08, 2020","Simple explanations, great examples and very easy to follow. Gained a lot of insights about the whole process. Intrigued to learn more about Design Thinking.",157,"design"
"2197","2197","By Anshuman G",5,"May 17, 2019","Excellent course for practitioners  who are involved in some way or other on projects which could deliver better through design thinking through innovation.",156,"design"
"2198","2198","By Bernardo G d B",5,"Jan 14, 2020","Was really a pleasant experience. Was some motivating that i bought both book versions (theoretical and practical). Really would love to go deeper into it.",156,"design"
"2199","2199","By Monika",5,"Aug 21, 2018","A very good course. Helps you to understand how to look at a business problem and provide solution to it by thinking creatively leading to true innovation.",155,"design"
"2200","2200","By Paul G",5,"Aug 21, 2017","Very clever storytelling made  good picture in my mind and is still there as visual thinking guide.i have had some courses already that was one of my top 5",155,"design"
"2201","2201","By NIRMALA A J B",5,"Nov 02, 2017","It was very informative and when the assigments were submitted it was not up to the mark but later based on the feedbacks given was able to correct myself",155,"design"
"2202","2202","By Iker I",5,"Oct 19, 2017","Very useful and interesting approach for innovation, the course is dinamic, engaging and strongly practical and full of examples. I strongly recommend it.",155,"design"
"2203","2203","By Carolie S",5,"May 06, 2016","This was, by far, the most useful online course I have taken. The course quality is excellent and the concepts were explained clearly. I highly recommend.",154,"design"
"2204","2204","By Herman d P",5,"Oct 19, 2019","Inspiring and great course. IMO one of the best approaches and mind-set for successful innovations, where customers are part an important of the process.",154,"design"
